10.1016/0010-0277(84)90029-5	0010-0277
10.1016/0010-0277(84)90030-1	0010-0277
10.1016/0010-0277(84)90031-3	0010-0277
10.1016/0010-0277(84)90036-2	0010-0277
10.1016/0010-0277(84)90037-4	0010-0277
10.1016/0010-0277(85)90002-2	0010-0277
10.1016/0010-0277(85)90008-3	0010-0277
10.1016/0010-0277(85)90021-6	0010-0277
10.1016/0010-0277(85)90022-8	0010-0277
10.1016/0010-0277(85)90036-8	0010-0277
10.1016/0010-0277(86)90010-7	0010-0277
10.1016/0010-0277(87)90005-9	0010-0277
10.1016/0010-0277(87)90012-6	0010-0277
10.1016/0010-0277(87)90016-3	0010-0277
10.1016/0010-0277(87)90018-7	0010-0277
10.1016/0010-0277(87)90027-8	0010-0277
10.1016/0010-0277(87)90034-5	0010-0277
10.1016/0010-0277(88)90021-2	0010-0277
10.1016/0010-0277(88)90031-5	0010-0277
10.1016/0010-0277(88)90035-2	0010-0277
10.1016/0010-0277(88)90036-4	0010-0277
10.1016/0010-0277(89)90005-X	0010-0277
10.1016/0010-0277(89)90023-1	0010-0277
10.1016/0010-0277(90)90001-z	0010-0277
10.1016/0010-0277(90)90006-6	0010-0277
10.1016/0010-0277(90)90021-B	0010-0277
10.1016/0010-0277(90)90036-J	0010-0277
10.1016/0010-0277(90)90051-k	0010-0277
10.1016/0010-0277(91)90009-s	0010-0277
10.1016/0010-0277(91)90020-5	0010-0277
10.1016/0010-0277(91)90024-X	0010-0277
10.1016/0010-0277(91)90032-y	0010-0277
10.1016/0010-0277(91)90035-3	0010-0277
10.1016/0010-0277(91)90052-6	0010-0277
10.1016/0010-0277(91)90054-8	0010-0277
10.1016/0010-0277(91)90058-C	0010-0277
10.1016/0010-0277(92)90012-7	0010-0277
10.1016/0010-0277(92)90013-8	0010-0277
10.1016/0010-0277(92)90019-E	0010-0277
10.1016/0010-0277(92)90027-F	0010-0277
10.1016/0010-0277(92)90030-l	0010-0277
10.1016/0010-0277(92)90038-J	0010-0277
10.1016/0010-0277(92)90041-F	0010-0277
10.1016/0010-0277(92)90045-j	0010-0277
10.1016/0010-0277(92)90046-k	0010-0277
10.1016/0010-0277(92)90049-N	0010-0277
10.1016/0010-0277(92)90053-K	0010-0277
10.1016/0010-0277(93)90003-E	0010-0277
10.1016/0010-0277(93)90017-P	0010-0277
10.1016/0010-0277(93)90022-N	0010-0277
10.1016/0010-0277(93)90022-n	0010-0277
10.1016/0010-0277(94)00640-7	0010-0277
10.1016/0010-0277(94)90004-3	0010-0277
10.1016/0010-0277(94)90018-3	0010-0277
10.1016/0010-0277(94)90028-0	0010-0277
10.1016/0010-0277(94)90048-5	0010-0277
10.1016/0010-0277(94)90054-x	0010-0277
10.1016/0010-0277(94)90055-8	0010-0277
10.1016/0010-0277(94)90064-7	0010-0277
10.1016/0010-0277(94)90068-X	0010-0277
10.1016/0010-0277(95)00664-8	0010-0277
10.1016/0010-0277(95)00665-6	0010-0277
10.1016/0010-0277(95)00676-p	0010-0277
10.1016/0010-0277(95)00679-6	0010-0277
10.1016/0010-0277(95)00689-3	0010-0277
10.1016/0010-0277(95)00692-R	0010-0277
10.1016/0010-0277(96)00712-3	0010-0277
10.1016/0010-0285(70)90005-8	0010-0285
10.1016/0010-0285(70)90010-1	0010-0285
10.1016/0010-0285(70)90017-4	0010-0285
10.1016/0010-0285(70)90018-6	0010-0285
10.1016/0010-0285(71)90019-3	0010-0285
10.1016/0010-0285(72)90002-3	0010-0285
10.1016/0010-0285(72)90007-2	0010-0285
10.1016/0010-0285(72)90014-x	0010-0285
10.1016/0010-0285(72)90016-3	0010-0285
10.1016/0010-0285(72)90017-5	0010-0285
10.1016/0010-0285(72)90019-9	0010-0285
10.1016/0010-0285(73)90004-2	0010-0285
10.1016/0010-0285(73)90017-0	0010-0285
10.1016/0010-0285(73)90024-8	0010-0285
10.1016/0010-0285(73)90032-7	0010-0285
10.1016/0010-0285(73)90033-9	0010-0285
10.1016/0010-0285(74)90009-7	0010-0285
10.1016/0010-0285(74)90015-2	0010-0285
10.1016/0010-0285(74)90018-8	0010-0285
10.1016/0010-0285(74)90021-8	0010-0285
10.1016/0010-0285(75)90005-5	0010-0285
10.1016/0010-0285(75)90019-5	0010-0285
10.1016/0010-0285(75)90021-3	0010-0285
10.1016/0010-0285(75)90023-7	0010-0285
10.1016/0010-0285(75)90024-9	0010-0285
10.1016/0010-0285(76)90013-X	0010-0285
10.1016/0010-0285(76)90018-9	0010-0285
10.1016/0010-0285(76)90023-2	0010-0285
10.1016/0010-0285(77)90009-3	0010-0285
10.1016/0010-0285(77)90012-3	0010-0285
10.1016/0010-0285(79)90002-1	0010-0285
10.1016/0010-0285(79)90005-7	0010-0285
10.1016/0010-0285(79)90009-4	0010-0285
10.1016/0010-0285(79)90013-6	0010-0285
10.1016/0010-0285(80)90005-5	0010-0285
10.1016/0010-0285(80)90011-0	0010-0285
10.1016/0010-0285(80)90019-5	0010-0285
10.1016/0010-0285(81)90008-6	0010-0285
10.1016/0010-0285(81)90011-6	0010-0285
10.1016/0010-0285(81)90016-5	0010-0285
10.1016/0010-0285(82)90006-8	0010-0285
10.1016/0010-0285(82)90008-1	0010-0285
10.1016/0010-0285(82)90020-2	0010-0285
10.1016/0010-0285(83)90003-8	0010-0285
10.1016/0010-0285(83)90013-0	0010-0285
10.1016/0010-0285(83)90016-6	0010-0285
10.1016/0010-0285(84)90002-1	0010-0285
10.1016/0010-0285(84)90007-0	0010-0285
10.1016/0010-0285(85)90006-4	0010-0285
10.1016/0010-0285(85)90008-8	0010-0285
10.1016/0010-0285(85)90010-6	0010-0285
10.1016/0010-0285(85)90012-X	0010-0285
10.1016/0010-0285(86)90004-6	0010-0285
10.1016/0010-0285(86)90008-3	0010-0285
10.1016/0010-0285(86)90015-0	0010-0285
10.1016/0010-0285(87)90002-8	0010-0285
10.1016/0010-0285(87)90005-3	0010-0285
10.1016/0010-0285(87)90008-9	0010-0285
10.1016/0010-0285(87)90011-9	0010-0285
10.1016/0010-0285(87)90016-8	0010-0285
10.1016/0010-0285(88)90017-5	0010-0285
10.1016/0010-0285(88)90025-4	0010-0285
10.1016/0010-0285(89)90003-0	0010-0285
10.1016/0010-0285(89)90008-x	0010-0285
10.1016/0010-0285(89)90014-5	0010-0285
10.1016/0010-0285(90)90002-l	0010-0285
10.1016/0010-0285(90)90003-M	0010-0285
10.1016/0010-0285(90)90003-m	0010-0285
10.1016/0010-0285(90)90009-s	0010-0285
10.1016/0010-0285(91)90016-H	0010-0285
10.1016/0010-0285(92)90002-J	0010-0285
10.1016/0010-0285(92)90003-K	0010-0285
10.1016/0010-0285(92)90007-o	0010-0285
10.1016/0010-0285(92)90009-q	0010-0285
10.1016/0010-0285(92)90015-T	0010-0285
10.1016/0010-0285(92)90016-u	0010-0285
10.1016/0010-0285(92)90017-v	0010-0285
10.1016/0010-2180(73)90006-0	0010-2180
10.1016/0010-2180(76)90081-X	0010-2180
10.1016/0010-2180(86)90018-0	0010-2180
10.1016/0010-2180(91)90139-3	0010-2180
10.1016/0010-2180(92)90034-M	0010-2180
10.1016/0010-2180(92)90034-m	0010-2180
10.1016/0010-2180(94)00175-R	0010-2180
10.1016/0010-2180(94)90112-0	0010-2180
10.1016/0010-2180(95)00229-4	0010-2180
10.1016/0010-2180(96)00221-0	0010-2180
10.1016/0010-4035(71)90057-7	0010-4035
10.1016/0010-406X(61)90071-8	0010-406X
10.1016/0010-406X(62)90009-9	0010-406X
10.1016/0010-406X(62)90034-8	0010-406X
10.1016/0010-406X(64)90061-1	0010-406X
10.1016/0010-406X(64)90153-7	0010-406X
10.1016/0010-406X(64)90173-2	0010-406X
10.1016/0010-406X(67)90342-8	0010-406X
10.1016/0010-406X(67)90601-9	0010-406X
10.1016/0010-406X(67)90764-5	0010-406X
10.1016/0010-406X(68)90635-X	0010-406X
10.1016/0010-406X(69)90065-6	0010-406X
10.1016/0010-406X(70)90093-9	0010-406X
10.1016/0010-406X(70)91018-2	0010-406X
10.1016/0010-406x(69)91336-x	0010-406X
10.1016/0010-406x(70)90185-4	0010-406X
10.1016/0010-4361(78)90169-6	0010-4361
10.1016/0010-4361(91)90549-V	0010-4361
10.1016/0010-4361(92)90186-X	0010-4361
10.1016/0010-4361(93)90296-K	0010-4361
10.1016/0010-440X(74)90028-5	0010-440X
10.1016/0010-440X(75)90047-4	0010-440X
10.1016/0010-440X(77)90018-9	0010-440X
10.1016/0010-440X(80)90044-9	0010-440X
10.1016/0010-440X(84)90074-9	0010-440X
10.1016/0010-440X(85)90070-7	0010-440X
10.1016/0010-440X(85)90072-0	0010-440X
10.1016/0010-440X(85)90077-X	0010-440X
10.1016/0010-440X(85)90081-1	0010-440X
10.1016/0010-440X(87)90065-4	0010-440X
10.1016/0010-440X(89)90058-8	0010-440X
10.1016/0010-440X(89)90113-2	0010-440X
10.1016/0010-440X(90)90018-N	0010-440X
10.1016/0010-440X(90)90023-L	0010-440X
10.1016/0010-440X(91)90028-B	0010-440X
10.1016/0010-440X(92)90005-B	0010-440X
10.1016/0010-440X(92)90024-K	0010-440X
10.1016/0010-440X(92)90041-N	0010-440X
10.1016/0010-440X(93)90031-X	0010-440X
10.1016/0010-440X(93)90036-4	0010-440X
10.1016/0010-440X(93)90049-A	0010-440X
10.1016/0010-440X(93)90063-A	0010-440X
10.1016/0010-440X(95)90081-6	0010-440X
10.1016/0010-440x(79)90055-5	0010-440X
10.1016/0010-440x(84)90074-9	0010-440X
10.1016/0010-440x(89)90052-7	0010-440X
10.1016/0010-440x(90)90041-p	0010-440X
10.1016/0010-440x(92)90035-o	0010-440X
10.1016/0010-440x(92)90075-2	0010-440X
10.1016/0010-440x(95)90084-9	0010-440X
10.1016/0010-440x(95)90085-a	0010-440X
10.1016/0010-440x(95)90086-b	0010-440X
10.1016/0010-4485(73)90238-8	0010-4485
10.1016/0010-4485(75)90086-X	0010-4485
10.1016/0010-4485(78)90110-0	0010-4485
10.1016/0010-4485(78)90111-2	0010-4485
10.1016/0010-4485(78)90141-0	0010-4485
10.1016/0010-4485(81)90140-8	0010-4485
10.1016/0010-4485(89)90059-6	0010-4485
10.1016/0010-4485(95)96797-P	0010-4485
10.1016/0010-4655(71)90008-7	0010-4655
10.1016/0010-4655(72)90095-1	0010-4655
10.1016/0010-4655(73)90004-0	0010-4655
10.1016/0010-4655(73)90077-5	0010-4655
10.1016/0010-4655(74)90086-1	0010-4655
10.1016/0010-4655(80)90051-X	0010-4655
10.1016/0010-4655(82)90173-4	0010-4655
10.1016/0010-4655(82)90174-6	0010-4655
10.1016/0010-4655(85)90167-5	0010-4655
10.1016/0010-4655(87)90053-1	0010-4655
10.1016/0010-4655(88)90192-0	0010-4655
10.1016/0010-4655(89)90009-X	0010-4655
10.1016/0010-4655(89)90039-8	0010-4655
10.1016/0010-4655(90)90187-6	0010-4655
10.1016/0010-4655(91)90076-W	0010-4655
10.1016/0010-4655(93)90010-A	0010-4655
10.1016/0010-4655(93)90024-7	0010-4655
10.1016/0010-4655(94)00171-W	0010-4655
10.1016/0010-4655(95)00010-D	0010-4655
10.1016/0010-4655(95)00046-I	0010-4655
10.1016/0010-4655(95)00125-5	0010-4655
10.1016/0010-4655(96)00016-1	0010-4655
10.1016/0010-4809(71)90030-9	0010-4809
10.1016/0010-4809(71)90034-6	0010-4809
10.1016/0010-4809(72)90007-9	0010-4809
10.1016/0010-4809(75)90045-2	0010-4809
10.1016/0010-4809(85)90041-2	0010-4809
10.1016/0010-4825(73)90002-4	0010-4825
10.1016/0010-4825(76)90034-2	0010-4825
10.1016/0010-4825(77)90018-x	0010-4825
10.1016/0010-4825(78)90032-x	0010-4825
10.1016/0010-4825(94)90002-7	0010-4825
10.1016/0010-4825(94)90010-8	0010-4825
10.1016/0010-7824(70)90016-8	0010-7824
10.1016/0010-7824(70)90019-3	0010-7824
10.1016/0010-7824(71)90027-8	0010-7824
10.1016/0010-7824(73)90023-1	0010-7824
10.1016/0010-7824(73)90030-9	0010-7824
10.1016/0010-7824(73)90139-X	0010-7824
10.1016/0010-7824(73)90159-5	0010-7824
10.1016/0010-7824(74)90013-4	0010-7824
10.1016/0010-7824(74)90042-0	0010-7824
10.1016/0010-7824(74)90096-1	0010-7824
10.1016/0010-7824(75)90042-6	0010-7824
10.1016/0010-7824(75)90065-7	0010-7824
10.1016/0010-7824(76)90081-0	0010-7824
10.1016/0010-7824(78)90027-6	0010-7824
10.1016/0010-7824(80)90005-0	0010-7824
10.1016/0010-7824(80)90140-7	0010-7824
10.1016/0010-7824(81)90071-8	0010-7824
10.1016/0010-7824(82)90143-3	0010-7824
10.1016/0010-7824(84)90022-2	0010-7824
10.1016/0010-7824(85)90048-4	0010-7824
10.1016/0010-7824(85)90053-8	0010-7824
10.1016/0010-7824(85)90085-X	0010-7824
10.1016/0010-7824(86)90007-7	0010-7824
10.1016/0010-7824(86)90046-6	0010-7824
10.1016/0010-7824(86)90090-9	0010-7824
10.1016/0010-7824(87)90006-0	0010-7824
10.1016/0010-7824(87)90088-6	0010-7824
10.1016/0010-7824(88)90008-X	0010-7824
10.1016/0010-7824(89)90018-8	0010-7824
10.1016/0010-7824(89)90034-6	0010-7824
10.1016/0010-7824(89)90061-9	0010-7824
10.1016/0010-7824(89)90103-0	0010-7824
10.1016/0010-7824(89)90107-8	0010-7824
10.1016/0010-7824(90)90034-S	0010-7824
10.1016/0010-7824(90)90071-3	0010-7824
10.1016/0010-7824(91)90137-5	0010-7824
10.1016/0010-7824(91)90149-a	0010-7824
10.1016/0010-7824(92)90052-U	0010-7824
10.1016/0010-7824(92)90053-V	0010-7824
10.1016/0010-7824(92)90116-B	0010-7824
10.1016/0010-7824(92)90118-D	0010-7824
10.1016/0010-7824(92)90121-9	0010-7824
10.1016/0010-7824(92)90157-O	0010-7824
10.1016/0010-7824(93)90042-6	0010-7824
10.1016/0010-7824(93)90060-K	0010-7824
10.1016/0010-7824(93)90060-k	0010-7824
10.1016/0010-7824(93)90063-D	0010-7824
10.1016/0010-7824(94)00003-F	0010-7824
10.1016/0010-7824(94)00007-J	0010-7824
10.1016/0010-7824(94)00018-R	0010-7824
10.1016/0010-7824(94)90003-5	0010-7824
10.1016/0010-7824(94)90006-x	0010-7824
10.1016/0010-7824(94)90029-9	0010-7824
10.1016/0010-7824(94)90033-7	0010-7824
10.1016/0010-7824(94)90046-9	0010-7824
10.1016/0010-7824(94)90048-5	0010-7824
10.1016/0010-7824(94)90084-1	0010-7824
10.1016/0010-7824(95)00094-q	0010-7824
10.1016/0010-7824(95)00214-U	0010-7824
10.1016/0010-7824(95)00215-V	0010-7824
10.1016/0010-7824(96)00081-9	0010-7824
10.1016/0010-7824(96)00136-9	0010-7824
10.1016/0010-8545(82)85001-7	0010-8545
10.1016/0010-8545(82)85003-0	0010-8545
10.1016/0010-8545(84)85053-5	0010-8545
10.1016/0010-8545(84)85056-0	0010-8545
10.1016/0010-8545(84)85063-8	0010-8545
10.1016/0010-8545(88)80012-2	0010-8545
10.1016/0010-8545(88)80032-8	0010-8545
10.1016/0010-8545(89)80018-9	0010-8545
10.1016/0010-8545(90)80023-M	0010-8545
10.1016/0010-8545(90)80069-6	0010-8545
10.1016/0010-8545(91)80013-4	0010-8545
10.1016/0010-8545(92)80022-J	0010-8545
10.1016/0010-8545(92)80065-Y	0010-8545
10.1016/0010-8545(94)01117-T	0010-8545
10.1016/0010-8545(94)03005-B	0010-8545
10.1016/0010-8545(94)03007-D	0010-8545
10.1016/0010-8545(94)85020-8	0010-8545
10.1016/0010-8545(95)01150-N	0010-8545
10.1016/0010-938X(91)90016-I	0010-938X
10.1016/0010-938X(91)90017-J	0010-938X
10.1016/0010-938X(91)90018-K	0010-938X
10.1016/0010-938X(91)90019-L	0010-938X
10.1016/0010-938X(92)90074-D	0010-938X
10.1016/0010-938X(93)90009-6	0010-938X
10.1016/0010-938X(93)90175-G	0010-938X
10.1016/0010-938X(95)00096-3	0010-938X
10.1016/0010-938X(95)00153-B	0010-938X
10.1016/0011-2240(70)90038-6	0011-2240
10.1016/0011-2240(71)90050-2	0011-2240
10.1016/0011-2240(77)90175-4	0011-2240
10.1016/0011-2240(82)90139-0	0011-2240
10.1016/0011-2240(82)90151-1	0011-2240
10.1016/0011-2240(84)90079-8	0011-2240
10.1016/0011-2240(86)90057-X	0011-2240
10.1016/0011-2240(87)90023-X	0011-2240
10.1016/0011-2240(89)90016-3	0011-2240
10.1016/0011-2240(89)90017-5	0011-2240
10.1016/0011-2240(90)90038-6	0011-2240
10.1016/0011-2275(66)90034-8	0011-2275
10.1016/0011-2275(73)90003-9	0011-2275
10.1016/0011-2275(75)90019-3	0011-2275
10.1016/0011-2275(76)90217-4	0011-2275
10.1016/0011-2275(87)90057-9	0011-2275
10.1016/0011-2275(90)90107-N	0011-2275
10.1016/0011-393X(95)85080-5	0011-393X
10.1016/0011-7471(62)90243-7	0011-7471
10.1016/0011-7471(64)90001-4	0011-7471
10.1016/0011-7471(64)91079-4	0011-7471
10.1016/0011-7471(64)91089-7	0011-7471
10.1016/0011-7471(65)90399-2	0011-7471
10.1016/0011-7471(66)90592-4	0011-7471
10.1016/0011-7471(66)90602-4	0011-7471
10.1016/0011-7471(66)91078-3	0011-7471
10.1016/0011-7471(66)91079-5	0011-7471
10.1016/0011-7471(66)91101-6	0011-7471
10.1016/0011-7471(67)90029-0	0011-7471
10.1016/0011-7471(67)90065-4	0011-7471
10.1016/0011-7471(68)90057-0	0011-7471
10.1016/0011-7471(68)90081-8	0011-7471
10.1016/0011-7471(69)90034-5	0011-7471
10.1016/0011-7471(69)90071-0	0011-7471
10.1016/0011-7471(70)90029-X	0011-7471
10.1016/0011-7471(70)90037-9	0011-7471
10.1016/0011-7471(71)90026-X	0011-7471
10.1016/0011-7471(71)90086-6	0011-7471
10.1016/0011-7471(72)90025-3	0011-7471
10.1016/0011-7471(72)90056-3	0011-7471
10.1016/0011-7471(73)90002-8	0011-7471
10.1016/0011-7471(73)90059-4	0011-7471
10.1016/0011-7471(73)90062-4	0011-7471
10.1016/0011-7471(73)90063-6	0011-7471
10.1016/0011-7471(73)90071-5	0011-7471
10.1016/0011-7471(73)90090-9	0011-7471
10.1016/0011-7471(73)90101-0	0011-7471
10.1016/0011-7471(74)90058-8	0011-7471
10.1016/0011-7471(75)90021-2	0011-7471
10.1016/0011-7471(76)90804-4	0011-7471
10.1016/0011-7471(76)90824-X	0011-7471
10.1016/0011-7471(76)90852-4	0011-7471
10.1016/0011-7471(76)90907-4	0011-7471
10.1016/0011-9164(88)80044-4	0011-9164
10.1016/0011-9164(95)00066-B	0011-9164
10.1016/0011-9164(96)00044-6	0011-9164
10.1016/0012-1606(60)90015-4	0012-1606
10.1016/0012-1606(61)90009-4	0012-1606
10.1016/0012-1606(62)90043-x	0012-1606
10.1016/0012-1606(63)90040-X	0012-1606
10.1016/0012-1606(65)90019-9	0012-1606
10.1016/0012-1606(65)90062-X	0012-1606
10.1016/0012-1606(70)90098-9	0012-1606
10.1016/0012-1606(70)90130-2	0012-1606
10.1016/0012-1606(71)90029-7	0012-1606
10.1016/0012-1606(72)90074-7	0012-1606
10.1016/0012-1606(72)90129-7	0012-1606
10.1016/0012-1606(73)90061-4	0012-1606
10.1016/0012-1606(73)90217-0	0012-1606
10.1016/0012-1606(74)90005-0	0012-1606
10.1016/0012-1606(75)90075-5	0012-1606
10.1016/0012-1606(75)90260-2	0012-1606
10.1016/0012-1606(75)90282-1	0012-1606
10.1016/0012-1606(75)90283-3	0012-1606
10.1016/0012-1606(75)90339-5	0012-1606
10.1016/0012-1606(77)90084-7	0012-1606
10.1016/0012-1606(77)90106-3	0012-1606
10.1016/0012-1606(77)90158-0	0012-1606
10.1016/0012-1606(78)90079-9	0012-1606
10.1016/0012-1606(78)90111-2	0012-1606
10.1016/0012-1606(78)90112-4	0012-1606
10.1016/0012-1606(78)90258-0	0012-1606
10.1016/0012-1606(78)90307-X	0012-1606
10.1016/0012-1606(79)90035-6	0012-1606
10.1016/0012-1606(79)90228-8	0012-1606
10.1016/0012-1606(80)90082-2	0012-1606
10.1016/0012-1606(80)90344-9	0012-1606
10.1016/0012-1606(80)90352-8	0012-1606
10.1016/0012-1606(81)90206-2	0012-1606
10.1016/0012-1606(81)90261-X	0012-1606
10.1016/0012-1606(81)90276-1	0012-1606
10.1016/0012-1606(81)90284-0	0012-1606
10.1016/0012-1606(81)90347-X	0012-1606
10.1016/0012-1606(81)90427-9	0012-1606
10.1016/0012-1606(81)90430-9	0012-1606
10.1016/0012-1606(82)90175-0	0012-1606
10.1016/0012-1606(82)90195-6	0012-1606
10.1016/0012-1606(82)90222-6	0012-1606
10.1016/0012-1606(82)90240-8	0012-1606
10.1016/0012-1606(82)90288-3	0012-1606
10.1016/0012-1606(82)90338-4	0012-1606
10.1016/0012-1606(83)90175-6	0012-1606
10.1016/0012-1606(83)90201-4	0012-1606
10.1016/0012-1606(83)90223-3	0012-1606
10.1016/0012-1606(83)90231-2	0012-1606
10.1016/0012-1606(83)90290-7	0012-1606
10.1016/0012-1606(84)90033-2	0012-1606
10.1016/0012-1606(84)90202-1	0012-1606
10.1016/0012-1606(84)90231-8	0012-1606
10.1016/0012-1606(84)90238-0	0012-1606
10.1016/0012-1606(84)90281-1	0012-1606
10.1016/0012-1606(84)90290-2	0012-1606
10.1016/0012-1606(84)90297-5	0012-1606
10.1016/0012-1606(84)90316-6	0012-1606
