10.1016/0896-6273(93)90340-w
10.1016/0896-6273(94)90038-8
10.1016/0896-6273(94)90054-X
10.1016/0896-6273(94)90055-8
10.1016/0896-6273(94)90151-1
10.1016/0896-6273(94)90165-1
10.1016/0896-6273(94)90223-2
10.1016/0896-6273(94)90264-X
10.1016/0896-6273(94)90266-6
10.1016/0896-6273(94)90272-0
10.1016/0896-6273(94)90307-7
10.1016/0896-6273(94)90314-X
10.1016/0896-6273(94)90318-2
10.1016/0896-6273(94)90352-2
10.1016/0896-6273(94)90415-4
10.1016/0896-6273(94)90418-9
10.1016/0896-6273(94)90419-7
10.1016/0896-6273(94)90425-1
10.1016/0896-6273(94)90443-X
10.1016/0896-6273(94)90455-3
10.1016/0896-6273(94)90463-4
10.1016/0896-6273(95)90008-X
10.1016/0896-6273(95)90009-8
10.1016/0896-6273(95)90018-7
10.1016/0896-6273(95)90022-5
10.1016/0896-6273(95)90023-3
10.1016/0896-6273(95)90040-3
10.1016/0896-6273(95)90046-2
10.1016/0896-6273(95)90056-X
10.1016/0896-6273(95)90057-8
10.1016/0896-6273(95)90065-9
10.1016/0896-6273(95)90069-1
10.1016/0896-6273(95)90080-2
10.1016/0896-6273(95)90104-3
10.1016/0896-6273(95)90145-0
10.1016/0896-6273(95)90146-9
10.1016/0896-6273(95)90147-7
10.1016/0896-6273(95)90184-1
10.1016/0896-6273(95)90186-8
10.1016/0896-6273(95)90214-7
10.1016/0896-6273(95)90241-4
10.1016/0896-6273(95)90271-6
10.1016/0896-6273(95)90299-6
10.1016/0896-6273(95)90302-X
10.1016/0896-6273(95)90304-6
10.1016/0896-6273(95)90320-8
10.1016/0896-6273(95)90321-6
10.1016/0896-6273(95)90329-1
10.1016/0896-6273(95)90332-1
10.1016/0896-6273(95)90335-6
10.1016/0896-6273(95)90346-1
10.1016/0896-8411(92)90196-w
10.1016/0898-1221(76)90025-0
10.1016/0898-1221(85)90105-1
10.1016/0898-1221(86)90157-4
10.1016/0898-1221(86)90167-7
10.1016/0898-1221(87)90143-x
10.1016/0898-1221(87)90181-7
10.1016/0898-1221(87)90238-0
10.1016/0898-1221(88)90213-1
10.1016/0898-1221(89)90031-X
10.1016/0898-1221(89)90156-9
10.1016/0898-1221(89)90260-5
10.1016/0898-1221(90)90098-5
10.1016/0898-1221(90)90272-l
10.1016/0898-1221(91)90124-M
10.1016/0898-1221(91)90124-m
10.1016/0898-1221(92)90034-F
10.1016/0898-1221(92)90045-J
10.1016/0898-1221(92)90045-j
10.1016/0898-1221(92)90094-X
10.1016/0898-1221(92)90139-9
10.1016/0898-1221(92)90162-b
10.1016/0898-1221(93)90001-C
10.1016/0898-1221(93)90004-f
10.1016/0898-1221(93)90128-I
10.1016/0898-1221(93)90308-I
10.1016/0898-1221(95)00165-u
10.1016/0898-1221(95)00222-7
10.1016/0898-1221(96)00080-6
10.1016/0898-1221(96)00138-1
10.1016/0898-5529(90)90153-Y
10.1016/0898-5529(90)90156-3
10.1016/0898-5898(92)90005-h
10.1016/0898-5898(93)90005-u
10.1016/0898-5898(95)90003-9
10.1016/0898-6568(89)90025-9
10.1016/0898-6568(90)90013-Z
10.1016/0898-6568(92)90082-J
10.1016/0898-6568(93)90029-l
10.1016/0898-6568(94)00039-5
10.1016/0898-6568(94)00071-I
10.1016/0898-6568(94)90037-X
10.1016/0898-6568(94)90062-0
10.1016/0898-6568(95)00042-N
10.1016/0898-6568(96)00048-4
10.1016/0899-3289(92)90014-o
10.1016/0899-3289(92)90038-Y
10.1016/0899-3289(95)90017-9
10.1016/0899-5362(87)90049-2
10.1016/0899-5362(88)90009-7
10.1016/0899-5362(90)90052-G
10.1016/0899-5362(92)90104-K
10.1016/0899-5362(93)90003-9
10.1016/0899-5362(93)90164-l
10.1016/0899-5362(94)90029-9
10.1016/0899-7071(89)90089-2
10.1016/0899-8256(91)90006-Z
10.1016/0899-8256(92)90035-q
10.1016/0899-8256(92)90045-t
10.1016/0899-9007(97)90878-9
10.1016/0920-1211(87)90059-3
10.1016/0920-1211(90)90050-6
10.1016/0920-1211(91)90012-5
10.1016/0920-1211(91)90050-p
10.1016/0920-1211(92)90015-L
10.1016/0920-1211(92)90016-m
10.1016/0920-1211(92)90086-9
10.1016/0920-1211(93)90095-O
10.1016/0920-1211(94)00084-A
10.1016/0920-1211(94)90054-x
10.1016/0920-1211(95)00028-9
10.1016/0920-1211(95)00052-6
10.1016/0920-1211(95)00094-1
10.1016/0920-2307(93)90001-U
10.1016/0920-3796(90)90104-E
10.1016/0920-4105(93)90004-X
10.1016/0920-5489(87)90026-2
10.1016/0920-5489(95)00007-H
10.1016/0920-5632(89)90498-2
10.1016/0920-5632(91)90120-4
10.1016/0920-5632(95)00481-N
10.1016/0920-5632(95)00618-4
10.1016/0920-5861(92)80188-S
10.1016/0920-5861(92)80191-O
10.1016/0920-5861(94)00135-O
10.1016/0920-5861(95)00003-X
10.1016/0920-9964(91)90050-2
10.1016/0920-9964(91)90208-9
10.1016/0920-9964(92)90017-Y
10.1016/0920-9964(93)90521-J
10.1016/0920-9964(95)00057-S
10.1016/0920-9964(95)00057-s
10.1016/0920-9964(96)88523-9
10.1016/0921-4488(92)90047-8
10.1016/0921-4488(94)00027-5
10.1016/0921-4526(91)90423-C
10.1016/0921-4526(93)90161-x
10.1016/0921-4526(94)00706-2
10.1016/0921-4526(94)91007-3
10.1016/0921-4526(95)00361-C
10.1016/0921-4534(88)90685-5
10.1016/0921-4534(88)90715-0
10.1016/0921-4534(90)90166-C
10.1016/0921-4534(90)90326-A
10.1016/0921-4534(91)90700-9
10.1016/0921-4534(91)91055-9
