10.1093/hmg/9.10.1487
10.1093/hmg/9.10.1495
10.1093/hmg/9.10.1501
10.1093/hmg/9.10.1533
10.1093/hmg/9.10.1543
10.1093/hmg/9.11.1567
10.1093/hmg/9.11.1651
10.1093/hmg/9.11.1681
10.1093/hmg/9.11.1691
10.1093/hmg/9.12.1721
10.1093/hmg/9.12.1729
10.1093/hmg/9.12.1779
10.1093/hmg/9.12.1795
10.1093/hmg/9.12.1805
10.1093/hmg/9.12.1829
10.1093/hmg/9.12.1873
10.1093/hmg/9.13.1907
10.1093/hmg/9.13.1919
10.1093/hmg/9.13.1977
10.1093/hmg/9.13.2009
10.1093/hmg/9.13.2019
10.1093/hmg/9.13.2051
10.1093/hmg/9.13.2059
10.1093/hmg/9.14.2085
10.1093/hmg/9.14.2095
10.1093/hmg/9.14.2107
10.1093/hmg/9.14.2141
10.1093/hmg/9.14.2159
10.1093/hmg/9.14.2167
10.1093/hmg/9.14.2175
10.1093/hmg/9.14.2183
10.1093/hmg/9.16.2403
10.1093/hmg/9.16.2421
10.1093/hmg/9.17.2471
10.1093/hmg/9.17.2531
10.1093/hmg/9.17.2553
10.1093/hmg/9.18.2651
10.1093/hmg/9.18.2665
10.1093/hmg/9.18.2691
10.1093/hmg/9.18.2715
10.1093/hmg/9.18.2761
10.1093/hmg/9.19.2781
10.1093/hmg/9.19.2853
10.1093/hmg/9.19.2869
10.1093/hmg/9.19.2919
10.1093/hmg/9.2.155
10.1093/hmg/9.2.175
10.1093/hmg/9.2.203
10.1093/hmg/9.2.217
10.1093/hmg/9.2.267
10.1093/hmg/9.2.289
10.1093/hmg/9.2.311
10.1093/hmg/9.20.3011
10.1093/hmg/9.20.3019
10.1093/hmg/9.20.3047
10.1093/hmg/9.3.363
10.1093/hmg/9.3.395
10.1093/hmg/9.3.431
10.1093/hmg/9.3.453
10.1093/hmg/9.4.489
10.1093/hmg/9.4.637
10.1093/hmg/9.4.645
10.1093/hmg/9.5.685
10.1093/hmg/9.5.703
10.1093/hmg/9.5.757
10.1093/hmg/9.5.795
10.1093/hmg/9.5.813
10.1093/hmg/9.5.829
10.1093/hmg/9.5.835
10.1093/hmg/9.6.879
10.1093/hmg/9.6.979
10.1093/hmg/9.6.987
10.1093/hmg/9.6.993
10.1093/hmg/9.7.1033
10.1093/hmg/9.7.1049
10.1093/hmg/9.7.1067
10.1093/hmg/9.7.1075
10.1093/hmg/9.7.1101
10.1093/hmg/9.7.1131
10.1093/hmg/9.8.1161
10.1093/hmg/9.8.1171
10.1093/hmg/9.8.1209
10.1093/hmg/9.8.1227
10.1093/hmg/9.8.1239
10.1093/hmg/9.8.1245
10.1093/hmg/9.8.1251
10.1093/hmg/9.9.1303
10.1093/hmg/9.9.1321
10.1093/hmg/9.9.1351
10.1093/hmg/9.9.1385
10.1093/hmg/9.9.1403
