10.1108/eb032722
10.1108/eb032812
10.1108/eb033911
10.1108/eb034021
10.1108/eb034143
10.1108/eb034268
10.1108/eb034594
10.1108/eb034738
10.1108/eb034756
10.1108/eb035011
10.1108/eb035013
10.1108/eb035278
10.1108/eb035344
10.1108/eb035500
10.1108/eb035612
10.1108/eb035646
10.1108/eb035729
10.1108/eb035956
10.1108/eb036425
10.1108/eb036547
10.1108/eb036574
10.1108/eb037564
10.1108/eb039012
10.1108/eb040072
10.1108/eb041262
10.1108/eb042356
10.1108/eb042601
10.1108/eb045831
10.1108/eb046298
10.1108/eb046445
10.1108/eb046759
10.1108/eb047078
10.1108/eb047194
10.1108/eb047254
10.1108/eb047542
10.1108/eb047619
10.1108/eb049014
10.1108/eb049109
10.1108/eb049231
10.1108/eb053170
10.1108/eb054316
10.1108/eb054428
10.1108/eb054547
10.1108/eb054625
10.1108/eb054631
10.1108/eb056599
10.1108/eb058538
10.1108/eb058634
10.1108/eb059274
10.1108/eb059872
10.1108/eb059958
10.1108/ejm-11-2011-0641
10.1108/ejm-12-2012-0694
10.1108/el-08-2014-0140
10.1108/eum0000000000542
10.1108/eum0000000000629
10.1108/eum0000000000630
10.1108/eum0000000004009
10.1108/eum0000000004664
10.1108/eum0000000004779
10.1108/eum0000000005144
10.1108/eum0000000005279
10.1108/eum0000000006930
10.1108/eum0000000007145
10.1108/eum0000000007204
10.1108/fs-02-2012-0007
10.1108/hrmid.2006.04414cad.007
10.1108/ijccsm-11-2012-0063
10.1108/ijchm-03-2014-0154
10.1108/ijchm-09-2015-0523
10.1108/ijebr-05-2015-0120
10.1108/ijge-09-2012-0035
10.1108/ijlps-07-2014-0011
10.1108/ijpdlm-11-2016-0332
10.1108/ijphm-05-2013-0024
10.1108/ijshe-09-2016-0175
10.1108/ijshe.2013.24914daa.009
10.1108/ijsms-03-01-2001-b006
10.1108/ijsms-03-03-2001-b006
10.1108/ijsms-06-01-2004-b004
10.1108/ijsms-07-01-2005-b004
10.1108/ijsms-11-02-2010-b004
10.1108/ijsms-14-02-2013-b002
10.1108/imr-06-2014-0205
10.1108/intr-02-2014-0041
10.1108/jacpr-09-2013-0025
10.1108/jcm-12-2013-0811
10.1108/jcm-12-2014-1268
10.1108/jd.2002.58.1.133.13
10.1108/jfp-08-2012-0002
10.1108/jic-02-2014-0017
10.1108/jic-12-2012-0107
10.1108/jices-05-2015-0011
10.1108/jkm-06-2014-0220
10.1108/jkm-10-2015-0394
10.1108/jkm-11-2015-0427
10.1108/jme-12-2014-0044
10.1108/jmp-10-2012-0295
10.1108/joepp-03-2014-0012
10.1108/jrim-02-2014-0007
10.1108/jrim-06-2014-0039
10.1108/jstp-09-2014-0206
