10.1007/s00427-003-0379-8	0949-944X
10.1007/s00427-004-0390-8	0949-944X
10.1007/s00427-004-0396-2	0949-944X
10.1007/s00427-004-0399-z	0949-944X
10.1007/s00427-004-0413-5	0949-944X
10.1007/s00427-004-0440-2	0949-944X
10.1007/s00427-004-0448-7	0949-944X
10.1007/s00427-005-0041-8	0949-944X
10.1007/s00427-005-0048-1	0949-944X
10.1007/s00427-005-0485-x	0949-944X
10.1007/s00427-006-0069-4	0949-944X
10.1007/s00427-006-0084-5	0949-944X
10.1007/s00427-006-0085-4	0949-944X
10.1007/s00427-006-0101-8	0949-944X
10.1007/s00427-006-0116-1	0949-944X
10.1007/s00427-006-0128-x	0949-944X
10.1007/s00427-007-0147-2	0949-944X
10.1007/s00427-007-0149-0	0949-944X
10.1007/s00427-007-0180-1	0949-944X
10.1007/s00427-008-0203-6	0949-944X
10.1007/s00427-008-0208-1	0949-944X
10.1007/s00427-008-0217-0	0949-944X
10.1007/s00427-008-0239-7	0949-944X
10.1007/s00427-009-0273-0	0949-944X
10.1007/s00427-009-0287-7	0949-944X
10.1007/s00427-009-0304-x	0949-944X
10.1007/s00427-009-0308-6	0949-944X
10.1007/s00427-010-0329-1	0949-944X
10.1007/s00427-011-0380-6	0949-944X
10.1007/s00427-012-0416-6	0949-944X
10.1007/s00427-013-0452-x	0949-944X
10.1007/s00427-014-0477-9	0949-944X
10.1007/s00427-015-0505-4	0949-944X
10.1007/s00427-015-0527-y	0949-944X
10.1007/s00427-016-0531-x	0949-944X
10.1007/s004270000088	0949-944X
10.1007/s004270000126	0949-944X
10.1007/s004270000128	0949-944X
10.1007/s004270000129	0949-944X
10.1007/s004270050126	0949-944X
10.1007/s004270050164	0949-944X
10.1007/s004270050199	0949-944X
10.1007/s004270050209	0949-944X
10.1007/s004270050255	0949-944X
10.1007/s004270050267	0949-944X
10.1007/s004270050286	0949-944X
10.1007/s004270050290	0949-944X
10.1007/s004270050315	0949-944X
10.1007/s004270100156	0949-944X
10.1007/s00428-001-0576-7	0945-6317
10.1007/s00428-002-0609-x	0945-6317
10.1007/s00428-002-0721-y	null
10.1007/s00428-003-0802-6	null
10.1007/s00428-003-0804-4	0945-6317
10.1007/s00428-003-0812-4	0945-6317
10.1007/s00428-003-0818-y	0945-6317
10.1007/s00428-003-0869-0	0945-6317
10.1007/s00428-003-0925-9	0945-6317
10.1007/s00428-003-0943-7	0945-6317
10.1007/s00428-004-1032-2	0945-6317
10.1007/s00428-004-1078-1	0945-6317
