10.1016/0300-9084(94)90113-9	0300-9084
10.1016/0300-9084(94)90144-9	0300-9084
10.1016/0300-9084(94)90147-3	0300-9084
10.1016/0300-9084(95)80008-5	0300-9084
10.1016/0300-9084(96)84758-4	0300-9084
10.1016/0300-9084(96)88139-9	0300-9084
10.1016/0300-9084(96)88143-0	0300-9084
10.1016/0300-9084(96)88172-7	0300-9084
10.1016/0300-9432(72)90032-5	0300-9432
10.1016/0300-9432(73)90042-3	0300-9432
10.1016/0300-9432(76)90024-8	0300-9432
10.1016/0300-9432(77)90062-0	0300-9432
10.1016/0300-9432(77)90088-7	0300-9432
10.1016/0300-9440(94)00504-4	0300-9440
10.1016/0300-9440(95)00532-3	0300-9440
10.1016/0300-9440(95)00581-1	0300-9440
10.1016/0300-9572(73)90042-7	0300-9572
10.1016/0300-9572(74)90011-2	0300-9572
10.1016/0300-9572(75)90061-1	0300-9572
10.1016/0300-9572(83)90026-6	0300-9572
10.1016/0300-9572(89)90091-9	0300-9572
10.1016/0300-9572(93)90162-J	0300-9572
10.1016/0300-9572(94)90064-7	0300-9572
10.1016/0300-9629(71)90352-5	0300-9629
10.1016/0300-9629(72)90068-0	0300-9629
10.1016/0300-9629(72)90201-0	0300-9629
10.1016/0300-9629(73)90261-2	0300-9629
10.1016/0300-9629(73)90490-8	0300-9629
10.1016/0300-9629(74)90900-1	0300-9629
10.1016/0300-9629(75)90423-5	0300-9629
10.1016/0300-9629(78)90033-6	0300-9629
10.1016/0300-9629(78)90102-0	0300-9629
10.1016/0300-9629(78)90254-2	0300-9629
10.1016/0300-9629(79)90199-3	0300-9629
10.1016/0300-9629(79)90635-2	0300-9629
10.1016/0300-9629(79)90639-X	0300-9629
10.1016/0300-9629(80)90026-2	0300-9629
10.1016/0300-9629(80)90383-7	0300-9629
10.1016/0300-9629(81)90145-6	0300-9629
10.1016/0300-9629(81)90370-4	0300-9629
10.1016/0300-9629(81)90634-4	0300-9629
10.1016/0300-9629(81)90645-9	0300-9629
10.1016/0300-9629(82)90152-9	0300-9629
10.1016/0300-9629(82)90200-6	0300-9629
10.1016/0300-9629(82)90203-1	0300-9629
10.1016/0300-9629(83)90360-2	0300-9629
10.1016/0300-9629(83)90594-7	0300-9629
10.1016/0300-9629(84)90033-1	0300-9629
10.1016/0300-9629(84)90432-8	0300-9629
10.1016/0300-9629(84)90648-0	0300-9629
10.1016/0300-9629(85)90479-7	0300-9629
10.1016/0300-9629(86)90035-6	0300-9629
10.1016/0300-9629(86)90471-8	0300-9629
10.1016/0300-9629(87)90070-3	0300-9629
10.1016/0300-9629(87)90275-1	0300-9629
10.1016/0300-9629(87)90465-8	0300-9629
10.1016/0300-9629(87)90615-3	0300-9629
10.1016/0300-9629(88)91046-8	0300-9629
10.1016/0300-9629(88)91088-2	0300-9629
10.1016/0300-9629(89)90112-6	0300-9629
10.1016/0300-9629(89)90363-0	0300-9629
10.1016/0300-9629(90)90004-C	0300-9629
10.1016/0300-9629(90)90025-N	0300-9629
10.1016/0300-9629(90)90029-R	0300-9629
10.1016/0300-9629(90)90067-3	0300-9629
10.1016/0300-9629(91)90309-Z	0300-9629
10.1016/0300-9629(91)90325-7	0300-9629
10.1016/0300-9629(91)90385-P	0300-9629
10.1016/0300-9629(92)90013-g	0300-9629
10.1016/0300-9629(92)90268-U	0300-9629
10.1016/0300-9629(92)90501-g	0300-9629
10.1016/0300-9629(92)90723-4	0300-9629
10.1016/0300-9629(93)90023-W	0300-9629
