10.1093/cs/cdu028
10.1093/cs/cdv019
10.1093/ct/11.1.14
10.1093/ct/14.1.27
10.1093/ct/14.2.167
10.1093/ct/15.2.127
10.1093/cvr/15.6.328
10.1093/cvr/20.11.828
10.1093/cvr/21.12.902
10.1093/cvr/22.8.586
10.1093/cvr/26.3.193
10.1093/cvr/26.5.443
10.1093/cvr/27.3.416
10.1093/cvr/27.9.1662
10.1093/cvr/28.8.1176
10.1093/cvr/4.3.363
10.1093/cvr/9.1.65
10.1093/cvr/cvm004
10.1093/cvr/cvm015
10.1093/cvr/cvm093
10.1093/cvr/cvm098
10.1093/cvr/cvn094
10.1093/cvr/cvn098
10.1093/cvr/cvn126
10.1093/cvr/cvn128
10.1093/cvr/cvn151
10.1093/cvr/cvn156
10.1093/cvr/cvn276
10.1093/cvr/cvn302
10.1093/cvr/cvn303
10.1093/cvr/cvn322
10.1093/cvr/cvn333
10.1093/cvr/cvn341
10.1093/cvr/cvp015
10.1093/cvr/cvp016
10.1093/cvr/cvp046
10.1093/cvr/cvp066
10.1093/cvr/cvp070
10.1093/cvr/cvp106
10.1093/cvr/cvp121
10.1093/cvr/cvp130
10.1093/cvr/cvp232
10.1093/cvr/cvp240
10.1093/cvr/cvp247
10.1093/cvr/cvp274
10.1093/cvr/cvp277
10.1093/cvr/cvp307
10.1093/cvr/cvp314
10.1093/cvr/cvp369
10.1093/cvr/cvp382
10.1093/cvr/cvp418
10.1093/cvr/cvq010
10.1093/cvr/cvq015
10.1093/cvr/cvq062
10.1093/cvr/cvq154
10.1093/cvr/cvq191
10.1093/cvr/cvq192
10.1093/cvr/cvq206
10.1093/cvr/cvq239
10.1093/cvr/cvq265
10.1093/cvr/cvq305
10.1093/cvr/cvq325
10.1093/cvr/cvq398
10.1093/cvr/cvr020
10.1093/cvr/cvr024
10.1093/cvr/cvr026
10.1093/cvr/cvr113
10.1093/cvr/cvr154
10.1093/cvr/cvr159
10.1093/cvr/cvr182
10.1093/cvr/cvr247
10.1093/cvr/cvs006
10.1093/cvr/cvs187
10.1093/cvr/cvs218
10.1093/cvr/cvs219
10.1093/cvr/cvs238
10.1093/cvr/cvs249
10.1093/cvr/cvs260
10.1093/cvr/cvs350
10.1093/cvr/cvt021
10.1093/cvr/cvt024
10.1093/cvr/cvt071
10.1093/cvr/cvt094
10.1093/cvr/cvt191
10.1093/cvr/cvt212
10.1093/cvr/cvt339
10.1093/cvr/cvu025
10.1093/cvr/cvu026
10.1093/cvr/cvu105
10.1093/cvr/cvu179
10.1093/cvr/cvu201
10.1093/cvr/cvu205
10.1093/cvr/cvu206
10.1093/cvr/cvu211
10.1093/cvr/cvv006
10.1093/cvr/cvv017
10.1093/cvr/cvv019
10.1093/cvr/cvv022
10.1093/cvr/cvv108
10.1093/cvr/cvv136
10.1093/cvr/cvv154
10.1093/cvr/cvv184
10.1093/cvr/cvv186
10.1093/cvr/cvv241
10.1093/cvr/cvw100
10.1093/cvr/cvw194
10.1093/cww/vpm001
10.1093/cww/vpm012
10.1093/cww/vpm013
10.1093/cww/vpm014
10.1093/cww/vpm021
10.1093/cww/vpn007
10.1093/cww/vpp003
10.1093/cww/vpp021;
10.1093/cww/vpr019
10.1093/cww/vpr023
10.1093/cww/vps024
10.1093/cww/vpt005
10.1093/cww/vpt016
10.1093/cww/vpt022
10.1093/cww/vpu012
10.1093/cww/vpu030
10.1093/cww/vpv039
10.1093/cwwrit/vpq006
10.1093/cwwrit/vpx016
10.1093/cwwrit/vpx016/4037383/The-Affective-Politics-of-Resistance-in-th
10.1093/cz/zow082
10.1093/cz/zow102
10.1093/cz/zow111
10.1093/cz/zox001
10.1093/cz/zox010
10.1093/czoolo/57.1.72
10.1093/czoolo/57.2.187
10.1093/czoolo/57.4.491
10.1093/czoolo/57.5.662
10.1093/czoolo/60.1.43
10.1093/czoolo/61.1.191
10.1093/czoolo/61.3.397
10.1093/czoolo/61.4.758
10.1093/czoolo/61.4.765
10.1093/czoolo/61.5.854
10.1093/database/bap002
10.1093/database/bap024
10.1093/database/bap026
10.1093/database/baq004
10.1093/database/baq009
10.1093/database/baq020
10.1093/database/baq027
10.1093/database/baq036
10.1093/database/baq039
10.1093/database/bar001
10.1093/database/bar002
10.1093/database/bar010
10.1093/database/bar011
10.1093/database/bar018
10.1093/database/bar021
10.1093/database/bar022
10.1093/database/bar023
10.1093/database/bar030
10.1093/database/bar038
10.1093/database/bar041
10.1093/database/bar048
10.1093/database/bar049
10.1093/database/bar059
10.1093/database/bas008
10.1093/database/bas009
10.1093/database/bas011
10.1093/database/bas014
10.1093/database/bas017
10.1093/database/bas019
10.1093/database/bas020
10.1093/database/bas036
10.1093/database/bas038
10.1093/database/bat015
10.1093/database/bat026
10.1093/database/bat029
10.1093/database/bat031
10.1093/database/bau015
10.1093/database/bau062
10.1093/database/bau103
10.1093/database/bau108
10.1093/database/bav005
10.1093/database/bav010
10.1093/database/bav028
10.1093/database/bav063
10.1093/database/bav064
10.1093/database/bav073
10.1093/database/bav077
10.1093/database/bav080
10.1093/database/bav081
10.1093/database/bav112
10.1093/database/bav112/2433243
10.1093/database/bav121
10.1093/database/baw001
10.1093/database/baw014
10.1093/database/baw104
10.1093/database/baw153
10.1093/database/bax004
10.1093/database/bax004/3053444
10.1093/database/bax020
10.1093/database/bax064/4097790/Impact-of-translation-on-named-entity-re
10.1093/database/bax074
10.1093/database/bax074/4157993/Echinobase-an-expanding-resource-for-ech
10.1093/dataset/bap024
10.1093/deafed/4.3.163
10.1093/deafed/5.3.266
10.1093/deafed/6.1.1</nowiki>
10.1093/deafed/6.3.177
10.1093/deafed/8.1.79
10.1093/deafed/eng018
10.1093/deafed/enh025
10.1093/deafed/enh025/2/enh025.pdf
10.1093/deafed/eni00
10.1093/deafed/eni001
10.1093/deafed/eni024
10.1093/deafed/eni035
10.1093/deafed/eni041
10.1093/deafed/eni042
10.1093/deafed/enm020
10.1093/deafed/enm068
10.1093/deafed/enn046
10.1093/deafed/enp023
10.1093/deafed/enp026
10.1093/deafed/enq004
10.1093/deafed/enq013
10.1093/deafed/ent045
10.1093/deafed/env060
10.1093/deafed/enw041
10.1093/deafed/enw073
10.1093/dh/dhs003
10.1093/dh/dht013
10.1093/dh/dht061
10.1093/dh/dht089
10.1093/dh/dht102
10.1093/dh/dht126
10.1093/dh/dht127
10.1093/dh/dht132
10.1093/dh/dht135
10.1093/dh/dhu006)
10.1093/dh/dhu031
10.1093/dh/dhu032
10.1093/dh/dhu035
10.1093/dh/dhu070
10.1093/dh/dhu071
10.1093/dh/dhv010)
10.1093/dh/dhw052;
10.1093/dh/dhw053
10.1093/dh/dhw057
10.1093/dnares/1.1.27
10.1093/dnares/1.1.47
10.1093/dnares/1.5.223
10.1093/dnares/1.5.251
10.1093/dnares/10.1.35
10.1093/dnares/10.1.49
10.1093/dnares/10.2.59
10.1093/dnares/10.2.67
10.1093/dnares/10.2.79
10.1093/dnares/10.4.137
10.1093/dnares/10.4.155
10.1093/dnares/10.5.221
10.1093/dnares/11.1.27
10.1093/dnares/11.3.179
10.1093/dnares/11.4.247
10.1093/dnares/12.2.117
10.1093/dnares/12.2.79
10.1093/dnares/2.1.37
10.1093/dnares/2.3.107
10.1093/dnares/2.4.153
