10.1016/s0003-9861(02)00300-4
10.1016/s0003-9861(02)00471-x
10.1016/s0003-9861(02)00491-5
10.1016/s0003-9861(02)00567-2
10.1016/s0003-9861(02)00680-x
10.1016/s0003-9861(02)00746-4
10.1016/s0003-9861(03)00007-9
10.1016/s0003-9861(03)00055-9
10.1016/s0003-9861(03)00090-0
10.1016/s0003-9861(03)00099-7
10.1016/s0003-9861(03)00118-8
10.1016/s0003-9861(03)00123-1
10.1016/s0003-9861(03)00283-2
10.1016/s0003-9861(03)00347-3
10.1016/s0003-9861(03)00390-4
10.1016/s0003-9861(74)80018-4
10.1016/s0003-9861(78)80009-5
10.1016/s0003-9969(02)00200-5
10.1016/s0003-9969(03)00116-x
10.1016/s0003-9969(98)00109-5
10.1016/s0003-9993(95)80123-5
10.1016/s0003-9993(96)90133-1
10.1016/s0003-9993(96)90199-9
10.1016/s0003-9993(96)90215-4
10.1016/s0003-9993(97)90416-0
10.1016/s0003-9993(99)90146-6
10.1016/s0003-9993(99)90273-3
10.1016/s0003-9993(99)90333-7
10.1016/s0004-3702(01)00071-6
10.1016/s0004-3702(01)00106-0
10.1016/s0004-3702(03)00062-6
10.1016/s0004-3702(83)80005-8
10.1016/s0004-3702(83)80010-1
10.1016/s0004-3702(97)00013-1
10.1016/s0004-3702(98)00023-x
10.1016/s0004-3702(98)00052-6
10.1016/s0004-3702(99)00067-3
10.1016/s0004-9514(06)70003-4
10.1016/s0004-9514(06)70026-5
10.1016/s0004-9514(07)70005-3
10.1016/s0004-9514(14)60110-0
10.1016/s0004-9514(14)60127-6
10.1016/s0004-9514(14)60296-8
10.1016/s0005-1098(01)00174-1
10.1016/s0005-1098(03)00113-4
10.1016/s0005-1098(98)00178-2
10.1016/s0005-2728(00)00166-3
10.1016/s0005-2728(00)00171-7
10.1016/s0005-2728(00)00273-5
10.1016/s0005-2728(00)00280-2
10.1016/s0005-2728(02)00254-2
10.1016/s0005-2728(02)00369-9
